"id","county","date","result"
2443,42,"2025-03-21",0
2242,15,"2025-02-17",0
2036,55,"2024-12-11",0
2415,39,"2025-03-08",0
2275,40,"2024-04-12",0
2074,46,"2024-05-17",0
2065,34,"2024-12-04",0
2252,18,"2024-09-26",0
2269,11,"2024-09-20",0
2021,50,"2025-02-13",0
2315,55,"2025-02-13",0
2061,32,"2024-08-31",0
2399,39,"2024-09-01",0
2052,46,"2024-06-17",0
2118,42,"2025-04-16",0
2197,50,"2025-02-12",0
2422,39,"2024-06-26",0
2303,50,"2024-09-08",0
2339,50,"2024-06-06",0
2028,32,"2025-04-16",0
2045,40,"2024-09-11",0
2386,55,"2024-04-14",0
2165,56,"2025-02-28",0
2341,42,"2024-05-02",0
2028,32,"2024-09-13",0
2177,46,"2025-02-27",0
2115,55,"2024-11-30",0
2164,11,"2025-03-28",0
2500,42,"2024-11-23",0
2268,56,"2024-07-27",0
2474,31,"2024-12-15",0
2488,40,"2024-04-12",0
2050,56,"2025-04-08",0
2003,34,"2025-02-26",0
2345,34,"2024-10-27",0
2377,40,"2024-07-01",0
2393,31,"2024-06-18",0
2014,33,"2024-12-24",0
2197,50,"2024-07-12",0
2061,32,"2024-12-01",0
2286,46,"2024-05-21",0
2423,31,"2024-12-25",0
2461,11,"2024-09-17",0
2129,42,"2025-02-14",0
2358,34,"2024-12-22",1
2121,34,"2024-12-25",0
2454,34,"2024-11-23",0
2147,11,"2025-04-18",0
2341,42,"2024-11-01",0
2206,11,"2024-12-27",0
2263,11,"2024-06-10",0
2064,34,"2024-09-05",0
2130,40,"2025-03-22",0
2261,32,"2024-11-09",0
2237,33,"2024-12-18",0
2155,50,"2024-07-26",0
2107,46,"2024-06-10",0
2234,42,"2024-07-08",0
2119,56,"2024-05-18",0
2445,11,"2025-04-22",0
2129,42,"2024-10-14",0
2450,18,"2024-07-25",0
2390,56,"2024-07-12",0
2428,40,"2025-04-30",0
2250,46,"2025-03-24",0
2285,31,"2024-04-23",0
2247,56,"2024-07-29",0
2196,55,"2025-02-05",0
2338,46,"2024-08-26",0
