"herdID","county","BCoVRes","BRSVRes","KlauvstatusRes","JurstatusRes","animalType","animalBreed","animalNumber"
2233,32,1,0,0,0,"Oksekalv 16-24 uker","Aberdeen angus",1
3033,39,0,1,0,1,"Oksekalv 4-8 uker","Charolais",1
2257,34,0,0,0,0,"Oksekalv 8-16 uker","Krysning - melkeraser",2
2510,11,0,0,0,0,"Kvige","Krysning - kjøttfe",1
2228,55,0,0,0,0,"Oksekalv 1-3 uker","Norsk Rødt Fe (NRF)",5
2216,34,0,0,0,0,"Oksekalv 16-24 uker","Norsk Rødt Fe (NRF)",1
3788,34,0,1,0,0,"Ung Okse","Hereford",2
2515,33,0,0,0,0,"Ung Kvige","Gamle norske raser",3
2358,34,0,0,1,0,"Kvigekalv 8-16 uker","Andre kjøttferaser",1
2105,50,1,1,0,0,"Kvigekalv 8-16 uker","Holstein",4
3280,46,0,0,0,0,"Kvige","Limousin",1
2068,31,0,1,0,0,"Kvige","Limousin",1
3424,34,0,0,0,1,"Ku","Norsk Rødt Fe (NRF)",9
3258,11,1,0,1,0,"Brukt Okse","Norsk Rødt Fe (NRF)",1
3246,11,0,0,0,0,"Kvigekalv 8-16 uker","Norsk Rødt Fe (NRF)",1
3233,42,0,0,0,0,"Ung Kvige","Andre kjøttferaser",3
2285,31,0,0,0,0,"Ung Kvige","Norsk Rødt Fe (NRF)",3
3366,55,0,0,0,0,"Ung Kvige","Holstein",7
3941,11,1,1,0,0,"Ung Okse","Holstein",3
3859,11,0,1,0,0,"Kvigekalv 24-42 uker","Norsk Rødt Fe (NRF)",1
2574,33,0,1,0,1,"Kvigekalv 4-8 uker","Norsk Rødt Fe (NRF)",2
3780,32,1,1,0,0,"Oksekalv 24-42 uker","Charolais",1
3786,50,0,0,0,0,"Kvigekalv 4-8 uker","Gamle norske raser",10
3729,50,0,0,0,0,"Ung Okse","Scottish Highland",4
3373,33,0,0,1,0,"Kvigekalv 1-3 uker","Gamle norske raser",9
2434,11,0,0,0,0,"Ung Kvige","Holstein",8
2382,50,1,0,0,0,"Oksekalv 8-16 uker","Jersey",1
3328,31,0,0,0,1,"Ung ku","Norsk Rødt Fe (NRF)",9
2609,11,0,0,0,0,"Kvige","Jersey",1
3444,11,1,0,0,0,"Kvigekalv 8-16 uker","Hereford",5
3465,11,0,1,0,0,"Oksekalv 8-16 uker","Krysning - melkeraser",3
2229,40,0,1,0,0,"Kvigekalv 8-16 uker","Gamle norske raser",5
3268,15,0,0,0,0,"Ung Kvige","Krysning - melkeraser",1
3186,32,0,0,0,1,"Kvige","Hereford",1
3555,50,0,0,0,1,"Oksekalv 4-8 uker","Krysning - melkeraser",1
3663,11,0,0,0,0,"Kvige","Andre kjøttferaser",4
2970,34,0,1,1,1,"Kvigekalv 16-24 uker","Limousin",6
2822,55,0,0,0,0,"Ku","Norsk Rødt Fe (NRF)",4
3910,11,1,0,0,0,"Kvigekalv 4-8 uker","Holstein",7
2836,11,0,1,0,0,"Ku","Holstein",9
3705,50,0,1,0,0,"Kvige","Holstein",1
3272,18,0,1,0,0,"Kvigekalv 8-16 uker","Limousin",1
2741,18,0,0,0,1,"Kvige","Holstein",2
3784,34,0,1,0,0,"Oksekalv 24-42 uker","Aberdeen angus",1
3993,32,0,1,0,0,"Kvigekalv 8-16 uker","Holstein",2
3250,15,0,1,0,0,"Brukt Okse","Norsk Rødt Fe (NRF)",1
3589,11,0,1,0,0,"Ung Okse","Gamle norske raser",10
2714,34,0,1,0,0,"Kvigekalv 1-3 uker","Scottish Highland",2
3247,46,0,0,0,0,"Kvigekalv 4-8 uker","Aberdeen angus",1
2251,39,0,0,0,1,"Kvige","Gamle norske raser",5
2033,42,0,0,0,0,"Kvigekalv 16-24 uker","Gamle norske raser",1
3972,55,0,1,0,0,"Oksekalv 8-16 uker","Hereford",6
3622,32,0,1,0,0,"Oksekalv 8-16 uker","Holstein",8
3709,11,1,0,0,0,"Oksekalv 4-8 uker","Jersey",4
2705,31,0,1,0,0,"Kvigekalv 1-3 uker","Limousin",3
2539,50,0,1,0,0,"Kvige","Norsk Rødt Fe (NRF)",1
3404,55,0,1,0,0,"Oksekalv 16-24 uker","Scottish Highland",2
2748,46,0,0,0,0,"Brukt Okse","Andre kjøttferaser",1
3959,40,0,1,0,0,"Kvigekalv 16-24 uker","Norsk Rødt Fe (NRF)",9
3079,42,0,0,0,0,"Oksekalv 16-24 uker","Jersey",7
3434,42,0,0,0,0,"Oksekalv 1-3 uker","Norsk Rødt Fe (NRF)",5
2278,11,0,0,0,0,"Oksekalv 8-16 uker","Krysning - kjøttfe",7
3397,11,0,0,0,1,"Kvigekalv 24-42 uker","Limousin",1
2050,56,0,0,0,0,"Kvigekalv 16-24 uker","Scottish Highland",5
3556,11,0,0,0,0,"Ung Okse","Jersey",2
3732,46,0,0,0,0,"Oksekalv 4-8 uker","Krysning - kjøttfe",1
3522,55,0,0,0,0,"Oksekalv 4-8 uker","Norsk Rødt Fe (NRF)",7
3748,11,0,0,0,1,"Ung Okse","Norsk Rødt Fe (NRF)",1
3284,32,0,1,0,0,"Kvigekalv 16-24 uker","Aberdeen angus",4
2580,34,0,0,0,0,"Oksekalv 16-24 uker","Holstein",1
3107,56,0,1,0,1,"Kvigekalv 4-8 uker","Hereford",10
2213,50,0,0,0,0,"Kvige","Limousin",6
3398,56,0,1,0,0,"Kvigekalv 1-3 uker","Norsk Rødt Fe (NRF)",1
2217,42,0,1,0,1,"Oksekalv 16-24 uker","Holstein",2
2389,31,1,0,0,0,"Ung ku","Norsk Rødt Fe (NRF)",1
2877,56,1,1,0,0,"Brukt Okse","Norsk Rødt Fe (NRF)",1
2811,46,1,1,0,0,"Ku","Norsk Rødt Fe (NRF)",3
3863,40,0,0,0,0,"Oksekalv 8-16 uker","Gamle norske raser",5
2938,34,0,1,0,0,"Brukt Okse","Norsk Rødt Fe (NRF)",1
3095,33,0,0,0,1,"Kvige","Andre kjøttferaser",3
2613,11,1,0,0,0,"Oksekalv 8-16 uker","Jersey",4
3800,50,0,0,0,0,"Ung Okse","Holstein",1
3075,50,0,0,0,0,"Oksekalv 1-3 uker","Krysning - melkeraser",3
3561,46,0,0,0,0,"Ung Okse","Jersey",1
