herdID,county,salmonellaRes,mycoplasmaRes,animalType,animalBreed,animalNumber
1,21,0,,Youngstock bull,Swedish Red,9
1,21,0,,Weaned calves less than 6 mo female,Swedish Holstein,4
1,21,0,,Weaned calves less than 6 mo female,Angus,11
2,6,0,1,Bull,Swedish Polled,4
2,6,0,1,Youngstock steer,Swedish Jersey,15
3,1,0,0,Youngstock bull,Swedish Holstein,10
4,12,1,,Youngstock heifer pregnant,Simmental,13
5,5,1,,Youngstock steer,Limousin,1
6,22,0,0,Youngstock heifer unknown pregnancy status,Simmental,8
6,22,0,0,Weaned calves less than 6 mo female,Swedish Polled,1
6,22,0,0,Calves on milk female,Charolais,10
6,22,0,0,Bull,Simmental,12
7,21,1,1,Ox,Simmental,7
7,21,1,1,Ox,Limousin,4
8,19,0,,Cow,Swedish Polled,3
8,19,0,,Youngstock heifer not pregnant,Swedish Red,10
8,19,0,,Weaned calves less than 6 mo male,Angus,11
9,8,1,0,Weaned calves less than 6 mo female,Swedish Jersey,9
10,5,0,0,Calves on milk male,Swedish Jersey,6
10,5,0,0,Cow,Swedish Red,12
11,6,0,1,Weaned calves less than 6 mo female,Simmental,12
11,6,0,1,Youngstock steer,Angus,15
11,6,0,1,Cow,Angus,12
12,18,1,0,Weaned calves less than 6 mo male,Limousin,2
12,18,1,0,Weaned calves less than 6 mo male,Swedish Jersey,9
12,18,1,0,Youngstock heifer unknown pregnancy status,Simmental,4
13,24,0,,Youngstock heifer unknown pregnancy status,Charolais,13
13,24,0,,Calves on milk male,Angus,8
14,22,1,1,Youngstock heifer unknown pregnancy status,Swedish Polled,14
14,22,1,1,Youngstock steer,Swedish Jersey,12
14,22,1,1,Youngstock heifer unknown pregnancy status,Charolais,13
15,19,1,,Youngstock steer,Simmental,14
15,19,1,,Youngstock steer,Limousin,1
16,4,0,0,Weaned calves less than 6 mo female,Angus,7
17,10,0,1,Bull,Swedish Red,15
17,10,0,1,Weaned calves less than 6 mo male,Swedish Jersey,7
18,5,1,1,Cow,Hereford,7
18,5,1,1,Youngstock bull,Limousin,9
19,6,0,1,Youngstock heifer pregnant,Charolais,2
19,6,0,1,Weaned calves less than 6 mo female,Simmental,12
20,17,1,1,Ox,Simmental,6
21,6,1,0,Calves on milk male,Hereford,2
21,6,1,0,Youngstock heifer unknown pregnancy status,Simmental,5
22,24,1,,Calves on milk female,Angus,11
22,24,1,,Youngstock heifer not pregnant,Hereford,9
23,3,1,1,Cow,Hereford,13
24,9,1,,Youngstock steer,Simmental,4
25,4,0,,Ox,Swedish Red,13
26,1,0,0,Youngstock heifer pregnant,Limousin,12
26,1,0,0,Youngstock heifer pregnant,Swedish Polled,6
27,12,0,1,Ox,Swedish Jersey,1
28,13,1,1,Weaned calves less than 6 mo female,Limousin,10
29,19,0,,Youngstock heifer pregnant,Swedish Jersey,7
30,9,0,0,Bull,Simmental,9
31,5,1,1,Ox,Simmental,14
32,5,1,,Youngstock heifer pregnant,Swedish Holstein,8
32,5,1,,Bull,Swedish Polled,12
33,22,1,0,Youngstock bull,Angus,6
33,22,1,0,Cow,Simmental,6
34,17,0,0,Youngstock heifer not pregnant,Hereford,2
35,6,1,,Youngstock heifer pregnant,Swedish Red,1
36,5,0,1,Weaned calves less than 6 mo male,Charolais,13
36,5,0,1,Youngstock heifer not pregnant,Charolais,8
37,3,0,1,Youngstock heifer pregnant,Swedish Holstein,1
37,3,0,1,Cow,Simmental,2
38,22,1,0,Youngstock bull,Charolais,14
38,22,1,0,Cow,Swedish Jersey,10
39,4,0,,Cow,Hereford,1
40,21,0,1,Bull,Simmental,1
41,25,0,1,Calves on milk male,Simmental,1
41,25,0,1,Calves on milk male,Swedish Polled,4
42,22,1,0,Youngstock heifer unknown pregnancy status,Charolais,6
42,22,1,0,Weaned calves less than 6 mo male,Limousin,12
43,7,0,,Bull,Swedish Holstein,12
43,7,0,,Youngstock heifer unknown pregnancy status,Swedish Jersey,3
43,7,0,,Cow,Swedish Red,14
44,7,1,,Cow,Swedish Red,5
45,3,1,0,Youngstock steer,Swedish Jersey,13
46,24,0,1,Weaned calves less than 6 mo male,Hereford,2
47,4,0,,Calves on milk male,Angus,2
47,4,0,,Calves on milk male,Swedish Red,13
48,25,0,,Bull,Swedish Jersey,13
48,25,0,,Weaned calves less than 6 mo male,Charolais,11
49,3,1,0,Calves on milk female,Hereford,14
49,3,1,0,Weaned calves less than 6 mo male,Swedish Polled,11
50,7,1,,Bull,Charolais,8
50,7,1,,Weaned calves less than 6 mo male,Simmental,12
51,12,1,0,Weaned calves less than 6 mo male,Limousin,1
51,12,1,0,Youngstock heifer not pregnant,Swedish Polled,9
52,9,0,0,Bull,Charolais,4
52,9,0,0,Calves on milk female,Charolais,6
53,6,0,,Calves on milk female,Swedish Holstein,9
54,1,0,1,Calves on milk female,Limousin,10
54,1,0,1,Calves on milk female,Swedish Jersey,2
55,21,0,0,Calves on milk female,Swedish Holstein,8
55,21,0,0,Cow,Swedish Polled,11
56,8,0,,Calves on milk female,Swedish Holstein,8
56,8,0,,Bull,Limousin,13
57,5,1,1,Cow,Hereford,1
57,5,1,1,Weaned calves less than 6 mo male,Angus,5
58,17,1,1,Weaned calves less than 6 mo female,Angus,8
59,12,1,1,Calves on milk female,Simmental,15
60,10,1,0,Weaned calves less than 6 mo male,Angus,4
61,14,1,0,Youngstock steer,Charolais,3
61,14,1,0,Youngstock bull,Swedish Holstein,4
62,24,0,1,Ox,Hereford,1
62,24,0,1,Calves on milk male,Swedish Red,7
63,10,1,0,Youngstock heifer unknown pregnancy status,Swedish Jersey,13
63,10,1,0,Ox,Swedish Polled,15
63,10,1,0,Weaned calves less than 6 mo male,Simmental,12
64,13,1,,Cow,Swedish Holstein,5
65,4,0,1,Youngstock heifer unknown pregnancy status,Hereford,3
66,20,0,,Weaned calves less than 6 mo female,Limousin,5
67,6,1,,Bull,Swedish Polled,5
68,18,1,1,Calves on milk male,Angus,11
69,6,1,1,Youngstock heifer pregnant,Swedish Jersey,10
69,6,1,1,Bull,Limousin,9
69,6,1,1,Youngstock steer,Charolais,15
70,3,1,,Cow,Swedish Jersey,13
71,22,0,,Ox,Angus,4
72,21,0,0,Youngstock heifer pregnant,Limousin,4
72,21,0,0,Weaned calves less than 6 mo male,Simmental,9
73,22,1,1,Weaned calves less than 6 mo male,Charolais,14
73,22,1,1,Calves on milk male,Swedish Jersey,8
74,6,1,0,Weaned calves less than 6 mo female,Swedish Jersey,11
75,18,0,0,Youngstock bull,Swedish Jersey,10
76,9,0,,Youngstock bull,Charolais,15
77,9,0,1,Weaned calves less than 6 mo female,Swedish Red,11
77,9,0,1,Calves on milk female,Swedish Holstein,13
78,25,1,0,Youngstock heifer unknown pregnancy status,Swedish Polled,11
79,5,0,,Youngstock steer,Swedish Jersey,5
79,5,0,,Youngstock bull,Swedish Polled,11
80,5,1,,Youngstock heifer unknown pregnancy status,Charolais,9
81,8,0,0,Youngstock heifer pregnant,Swedish Red,11
81,8,0,0,Calves on milk female,Swedish Jersey,5
82,12,0,,Bull,Swedish Holstein,11
82,12,0,,Youngstock heifer unknown pregnancy status,Swedish Holstein,2
83,22,0,0,Weaned calves less than 6 mo male,Hereford,3
84,17,0,,Youngstock steer,Swedish Holstein,14
84,17,0,,Weaned calves less than 6 mo female,Angus,7
85,25,1,0,Cow,Charolais,13
86,23,0,,Cow,Swedish Polled,9
87,20,1,,Weaned calves less than 6 mo female,Limousin,4
87,20,1,,Youngstock steer,Swedish Holstein,6
88,21,1,1,Youngstock heifer unknown pregnancy status,Swedish Red,5
88,21,1,1,Cow,Swedish Jersey,8
89,14,0,0,Youngstock heifer not pregnant,Simmental,9
89,14,0,0,Weaned calves less than 6 mo male,Hereford,6
90,10,1,1,Calves on milk female,Charolais,12
91,25,1,0,Ox,Simmental,1
91,25,1,0,Calves on milk male,Hereford,10
91,25,1,0,Youngstock steer,Angus,3
92,13,0,1,Cow,Swedish Holstein,6
92,13,0,1,Calves on milk male,Swedish Polled,12
93,20,0,1,Weaned calves less than 6 mo male,Angus,2
94,9,0,1,Cow,Swedish Holstein,6
94,9,0,1,Calves on milk male,Swedish Red,3
95,7,1,1,Weaned calves less than 6 mo male,Swedish Polled,10
96,1,0,1,Bull,Limousin,15
97,17,1,,Weaned calves less than 6 mo male,Swedish Polled,15
98,18,0,1,Bull,Swedish Jersey,12
99,6,1,0,Weaned calves less than 6 mo female,Hereford,1
100,10,0,1,Calves on milk male,Simmental,10
100,10,0,1,Calves on milk male,Swedish Polled,2
101,20,0,,Weaned calves less than 6 mo female,Swedish Holstein,7
101,20,0,,Calves on milk female,Swedish Red,8
102,13,0,0,Bull,Charolais,11
102,13,0,0,Cow,Hereford,10
103,12,1,,Weaned calves less than 6 mo female,Swedish Red,10
103,12,1,,Bull,Limousin,3
104,12,0,1,Weaned calves less than 6 mo male,Limousin,15
105,1,1,,Youngstock heifer unknown pregnancy status,Charolais,12
106,23,1,1,Youngstock heifer not pregnant,Swedish Jersey,13
106,23,1,1,Bull,Hereford,9
106,23,1,1,Weaned calves less than 6 mo female,Swedish Red,11
107,21,0,0,Cow,Charolais,5
107,21,0,0,Weaned calves less than 6 mo male,Simmental,13
108,18,0,1,Cow,Charolais,4
109,18,1,0,Youngstock heifer not pregnant,Swedish Red,3
109,18,1,0,Weaned calves less than 6 mo female,Charolais,9
109,18,1,0,Weaned calves less than 6 mo female,Charolais,2
109,18,1,0,Weaned calves less than 6 mo female,Swedish Jersey,12
109,18,1,0,Youngstock heifer unknown pregnancy status,Swedish Red,5
109,18,1,0,Youngstock heifer unknown pregnancy status,Swedish Red,14
110,19,1,0,Ox,Angus,11
110,19,1,0,Youngstock heifer pregnant,Hereford,3
110,19,1,0,Ox,Swedish Holstein,6
111,7,1,0,Calves on milk female,Swedish Holstein,14
112,19,0,1,Cow,Charolais,13
